trial,start_hunt,end_hunt,capture_time,tube_weight_with_roach,tube_weight_no_roach,roach_weight,date,day,Video_File
1,0:27:08,Not caught after 22:36,0:30:00,8.482,8.341,0.141,6/4/25,0,RCC00043_bucket_e3v810a-20250604T163625-173625.mp4
1,0:50:54,0:56:43,0:05:49,8.591,8.478,0.113,6/6/25,1,RCC00043_bucket_e3v810a-20250606T083655-093656.mp4
2,0:02:20,0:29:07,0:26:47,8.657,8.512,0.145,6/6/25,1,RCC00043_bucket_e3v810a-20250606T093656-103657.mp4
3,0:36:20,0:40:15,0:03:55,8.441,8.275,0.166,6/6/25,1,RCC00043_bucket_e3v810a-20250606T093656-103657.mp4
4,0:46:42,0:52:22,0:05:40,8.342,8.249,0.093,6/6/25,1,RCC00043_bucket_e3v810a-20250606T093656-103657.mp4
5,0:56:31,1:03:51,0:07:20,8.399,8.296,0.103,6/6/25,1,RCC00043_bucket_e3v810a-20250606T093656-103657.mp4
6,0:07:27,0:15:50,0:08:23,8.411,8.315,0.096,6/6/25,1,RCC00043_bucket_e3v810a-20250606T103657-113658.mp4
1,0:07:37,0:09:06,0:01:29,8.44,8.329,0.111,6/7/25,2,RCC00043_bucket_e3v810a-20250607T083713-093714.mp4
2,0:18:43,0:19:53,0:01:10,8.295,8.207,0.088,6/7/25,2,RCC00043_bucket_e3v810a-20250607T083713-093714.mp4
3,0:30:29,0:31:38,0:01:09,8.531,8.404,0.127,6/7/25,2,RCC00043_bucket_e3v810a-20250607T083713-093714.mp4
4,0:39:22,0:40:45,0:01:23,8.536,8.431,0.105,6/7/25,2,RCC00043_bucket_e3v810a-20250607T083713-093714.mp4
5,0:53:22,0:54:57,0:01:35,8.515,8.341,0.174,6/7/25,2,RCC00043_bucket_e3v810a-20250607T083713-093714.mp4
6,0:12:32,0:13:27,0:00:55,8.349,8.243,0.106,6/7/25,2,RCC00043_bucket_e3v810a-20250607T093714-103715.mp4
1,0:06:03,0:08:32,0:02:29,8.487,8.342,0.145,6/8/25,3,RCC00043_bucket_e3v810a-20250608T093652-103652.mp4
2,0:17:28,0:18:55,0:01:27,8.323,8.221,0.102,6/8/25,3,RCC00043_bucket_e3v810a-20250608T093652-103652.mp4
3,0:26:57,0:28:11,0:01:14,8.514,8.417,0.097,6/8/25,3,RCC00043_bucket_e3v810a-20250608T093652-103652.mp4
4,0:36:36,0:38:21,0:01:45,8.647,8.446,0.201,6/8/25,3,RCC00043_bucket_e3v810a-20250608T093652-103652.mp4
5,0:46:33,0:48:11,0:01:38,8.488,8.358,0.13,6/8/25,3,RCC00043_bucket_e3v810a-20250608T093652-103652.mp4
6,0:56:35,0:58:30,0:01:55,8.413,8.255,0.158,6/8/25,3,RCC00043_bucket_e3v810a-20250608T093652-103652.mp4
1,0:29:01,0:30:46,0:01:45,8.469,8.342,0.127,6/9/25,4,RCC00043_bucket_e3v810a-20250609T093710-103710.mp4
2,0:39:09,0:40:52,0:01:43,8.319,8.22,0.099,6/9/25,4,RCC00043_bucket_e3v810a-20250609T093710-103710.mp4
3,0:48:28,0:50:23,0:01:55,8.534,8.417,0.117,6/9/25,4,RCC00043_bucket_e3v810a-20250609T093710-103710.mp4
4,0:58:34,1:01:42,0:03:08,8.646,8.446,0.2,6/9/25,4,RCC00043_bucket_e3v810a-20250609T093710-103710.mp4
5,0:09:00,0:10:22,0:01:22,8.556,8.358,0.198,6/9/25,4,RCC00043_bucket_e3v810a-20250609T103710-113711.mp4
6,0:18:23,0:21:59,0:03:36,8.435,8.256,0.179,6/9/25,4,RCC00043_bucket_e3v810a-20250609T103710-113711.mp4
